name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"CYCLES","INSTRUCTIONS","size"
"IntegerSumLoop/1024",3675515,148.787,148.791,ns,,6.88215e+09,,,,835.824,2588,1024
"IntegerSumLoop/4096",1007201,695.048,694.973,ns,,5.89376e+09,,,,3905.34,10268,4096
"IntegerSumLoop/32768",120535,5800.55,5800.65,ns,,5.64902e+09,,,,32601,81948,32768
"IntegerSumLoop/262144",14896,47017.3,47018,ns,,5.57539e+09,,,,264010,655388,262144
"IntegerSumLoop/1048576",3716,188336,188335,ns,,5.5676e+09,,,,1.05733e+06,2.62147e+06,1.04858e+06
"IntegerSumLoopAvx2/1024",12016964,58.9861,58.918,ns,,1.73801e+10,,,,328.832,1052,1024
"IntegerSumLoopAvx2/4096",2125564,325.785,325.605,ns,,1.25797e+10,,,,1828.15,4124,4096
"IntegerSumLoopAvx2/32768",242495,2889.76,2887.36,ns,,1.13488e+10,,,,16214.1,32796,32768
"IntegerSumLoopAvx2/262144",29258,23953.9,23954.4,ns,,1.09434e+10,,,,134519,262172,262144
"IntegerSumLoopAvx2/2097152",3599,194361,194360,ns,,1.07901e+10,,,,1.09125e+06,2.09718e+06,2.09715e+06
"IntegerSumLoopAvx2/16777216",302,2.31331e+06,2.31324e+06,ns,,7.2527e+09,,,,1.29783e+07,1.67772e+07,1.67772e+07
"IntegerSumLoopAsm/1024",10931600,57.9822,57.9725,ns,,1.76635e+10,,,,325.605,1043,1024
"IntegerSumLoopAsm/4096",2125045,329.427,329.37,ns,,1.24359e+10,,,,1850.37,4115,4096
"IntegerSumLoopAsm/32768",242478,2887.11,2886.46,ns,,1.13523e+10,,,,16215.2,32787,32768
"IntegerSumLoopAsm/262144",29255,23977.3,23970.7,ns,,1.0936e+10,,,,134587,262163,262144
"IntegerSumLoopAsm/2097152",3600,194486,194426,ns,,1.07864e+10,,,,1.0917e+06,2.09717e+06,2.09715e+06
"IntegerSumLoopAsm/16777216",298,2.31082e+06,2.31067e+06,ns,,7.26075e+09,,,,1.29603e+07,1.67772e+07,1.67772e+07
"IntegerSumLoopAsmRepeat/1",12000679,58.0401,58.0297,ns,,,,,,325.996,1048,
"IntegerSumLoopAsmRepeat/10",797779,877.034,876.854,ns,,,,,,4926.36,10300,
"IntegerSumLoopAsmRepeat/100",76889,9104.14,9102.14,ns,,,,,,51117,102820,
"IntegerSumLoopAsmRepeat/1000",7679,91132,91134.9,ns,,,,,,511827,1.02802e+06,
"IntegerSumLoopAsmRepeat/10000",768,912107,911861,ns,,,,,,5.12065e+06,1.028e+07,
"IntegerSumLoopAvx2Mmap/1024",11966429,58.1897,58.1737,ns,,1.76025e+10,,,,326.842,1049,1024
"IntegerSumLoopAvx2Mmap/4096",2123615,329.506,329.418,ns,,1.2434e+10,,,,1849.73,4121,4096
"IntegerSumLoopAvx2Mmap/32768",242434,2902.96,2901.65,ns,,1.12929e+10,,,,16177.5,32793,32768
"IntegerSumLoopAvx2Mmap/262144",29327,23801.5,23801.8,ns,,1.10136e+10,,,,133654,262169,262144
"IntegerSumLoopAvx2Mmap/2097152",3633,193061,193057,ns,,1.08629e+10,,,,1.08403e+06,2.09718e+06,2.09715e+06
"IntegerSumLoopAvx2Mmap/16777216",304,2.29645e+06,2.29618e+06,ns,,7.30658e+09,,,,1.28834e+07,1.67772e+07,1.67772e+07
"IntegerSumLoopAvx2Inline/1024",12186975,57.4743,57.4751,ns,,1.78164e+10,,,,322.96,1049,1024
"IntegerSumLoopAvx2Inline/4096",2126157,329.314,329.311,ns,,1.24381e+10,,,,1850.26,4121,4096
"IntegerSumLoopAvx2Inline/32768",242573,2885.73,2885.61,ns,,1.13557e+10,,,,16208.3,32793,32768
"IntegerSumLoopAvx2Inline/262144",29264,23923.2,23924,ns,,1.09574e+10,,,,134370,262169,262144
"IntegerSumLoopAvx2Inline/2097152",3602,194337,194340,ns,,1.07912e+10,,,,1.09136e+06,2.09718e+06,2.09715e+06
"IntegerSumLoopAvx2Inline/16777216",302,2.3043e+06,2.30418e+06,ns,,7.2812e+09,,,,1.29284e+07,1.67772e+07,1.67772e+07
"IntegerSumLoopAvx512/1024",24571934,28.4951,28.4872,ns,,3.59459e+10,,,,160.062,542,1024
"IntegerSumLoopAvx512/4096",4722302,148.205,148.209,ns,,2.76366e+10,,,,833.129,2078,4096
"IntegerSumLoopAvx512/32768",488157,1435.25,1435.02,ns,,2.28346e+10,,,,8062.24,16414,32768
"IntegerSumLoopAvx512/262144",47848,14757.1,14746.4,ns,,1.77768e+10,,,,81745.7,131102,262144
"IntegerSumLoopAvx512/2097152",5460,124530,124520,ns,,1.68418e+10,,,,691983,1.04861e+06,2.09715e+06
"IntegerSumLoopAvx512/16777216",313,2.20004e+06,2.19975e+06,ns,,7.62689e+09,,,,1.23358e+07,8.38864e+06,1.67772e+07
