name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cycles","instructions"
"BM_LinearSearch/8",35802476,15.5854,15.5671,ns,,,,,,83.9181,175.063
"BM_LinearSearch/16",45538622,15.2674,15.2666,ns,,,,,,85.6988,199.588
"BM_LinearSearch/32",40396630,17.2216,17.2188,ns,,,,,,96.7301,243.184
"BM_LinearSearch/64",34791652,20.5479,20.5474,ns,,,,,,115.437,330.822
"BM_LinearSearch/128",25428255,25.7621,25.7609,ns,,,,,,144.517,464.21
"BM_LinearSearch/256",17044221,40.3562,40.3553,ns,,,,,,226.602,775.982
"BM_LinearSearch/512",10603266,68.1104,68.1099,ns,,,,,,382.528,1453.38
"BM_LinearSearch/1024",6072410,113.305,113.305,ns,,,,,,636.34,2627.09
"BM_LinearSearch/2048",3381044,207.491,207.493,ns,,,,,,1165.39,5281.19
"BM_LinearSearch/4096",1779706,390.352,390.35,ns,,,,,,2192.45,10424.6
"BM_LinearSearch/8192",929169,747.744,747.743,ns,,,,,,4199.8,20440.1
"BM_LinearSearch/16384",472664,1510.21,1508.51,ns,,,,,,8434.27,40974.6
"BM_LinearSearch/32768",239009,2939.12,2939.03,ns,,,,,,16506.2,82163.2
"BM_LinearSearch/65536",119449,5845.46,5845.27,ns,,,,,,32828.2,163743
"BM_LinearSearch/131072",60010,11709.3,11708.9,ns,,,,,,65744.7,327812
"BM_LinearSearch/262144",29673,23525.1,23524.6,ns,,,,,,132036,657393
"BM_LinearSearch/524288",14958,47168,47167.5,ns,,,,,,264717,1.3171e+06
"BM_LinearSearch/1048576",7474,94320.6,94318.2,ns,,,,,,529335,2.63112e+06
"BM_LinearSearch/2097152",3737,187570,187562,ns,,,,,,1.05269e+06,5.22427e+06
"BM_LinearSearch_BigO",,0.089564,0.0895605,N,,,,,,,
"BM_LinearSearch_RMS",,6.19087e-12,6.21355e-12,,,,,,,,
"BM_BinarySearch/8",40051860,16.0049,16.005,ns,,,,,,89.8476,188.089
"BM_BinarySearch/16",37164689,19.6092,19.6094,ns,,,,,,110.117,195.323
"BM_BinarySearch/32",31184379,22.044,22.0442,ns,,,,,,123.745,204.195
"BM_BinarySearch/64",27857288,25.4551,25.4548,ns,,,,,,142.915,213.325
"BM_BinarySearch/128",25269327,27.3164,27.316,ns,,,,,,153.392,222.912
"BM_BinarySearch/256",22438704,30.9331,30.933,ns,,,,,,173.668,232.098
"BM_BinarySearch/512",20107759,34.5705,34.571,ns,,,,,,194.14,241.657
"BM_BinarySearch/1024",17682839,38.9807,38.9794,ns,,,,,,218.867,251.017
"BM_BinarySearch/2048",16042028,43.709,43.7074,ns,,,,,,245.473,260.547
"BM_BinarySearch/4096",14365151,48.836,48.8332,ns,,,,,,274.262,270.065
"BM_BinarySearch/8192",12637392,55.2336,55.2326,ns,,,,,,310.216,279.575
"BM_BinarySearch/16384",11107910,62.4993,62.4995,ns,,,,,,350.884,289.097
"BM_BinarySearch/32768",10041023,69.6284,69.6278,ns,,,,,,390.902,298.572
"BM_BinarySearch/65536",9121326,76.5735,76.5732,ns,,,,,,429.826,308.095
"BM_BinarySearch/131072",8193092,85.1909,85.1871,ns,,,,,,478.11,317.566
"BM_BinarySearch/262144",6899207,100.64,100.637,ns,,,,,,565.021,327.083
"BM_BinarySearch/524288",6152303,114.537,114.536,ns,,,,,,642.82,336.579
"BM_BinarySearch/1048576",5504935,127.257,127.255,ns,,,,,,714.214,346.082
"BM_BinarySearch/2097152",5044583,139.731,139.725,ns,,,,,,777.249,355.572
"BM_BinarySearch_BigO",,5.25528,5.25516,lgN,,,,,,,
"BM_BinarySearch_RMS",,2.12263e-10,2.12257e-10,,,,,,,,
