name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"perf_raw::r430076","perf_raw::r4300C1","perf_raw::r4307AA"
"BM_StdLowerBound/8",98387109,7.10449,7.10363,ns,,,,,,39.8259,32.1503,125.984
"BM_StdLowerBound/40",60315067,12.1277,12.1268,ns,,,,,,68.0641,45.7317,183.959
"BM_StdLowerBound/72",45773297,14.9349,14.9318,ns,,,,,,83.6984,50.9146,227.274
"BM_StdLowerBound/104",41808728,16.2001,16.19,ns,,,,,,90.8905,55.0231,249.304
"BM_StdLowerBound/136",40915806,17.7083,17.6965,ns,,,,,,99.3727,57.4453,275.739
"BM_StdLowerBound/168",37238200,17.858,17.8475,ns,,,,,,100.225,59.585,280.113
"BM_StdLowerBound/200",35604207,19.9652,19.9511,ns,,,,,,111.861,61.3306,295.921
"BM_StdLowerBound/232",35129145,20.2615,20.2509,ns,,,,,,113.724,62.5565,304.742
"BM_StdLowerBound/256",32424097,21.3873,21.3839,ns,,,,,,120.072,63.0217,332.108
"BM_StdLowerBound/384",31351847,21.7726,21.7716,ns,,,,,,122.215,67.2452,333.857
"BM_StdLowerBound/512",29324445,23.5494,23.5463,ns,,,,,,132.203,69.5386,365.994
"BM_StdLowerBound/640",28090134,24.4327,24.4178,ns,,,,,,137.083,72.1216,378.357
"BM_StdLowerBound/768",27619365,25.4982,25.4819,ns,,,,,,143.053,74.0801,394.732
"BM_StdLowerBound/896",25901369,26.9709,26.9548,ns,,,,,,151.352,75.2638,406.047
"BM_StdLowerBound/1024",25432918,27.726,27.7085,ns,,,,,,155.576,75.9391,416.613
"BM_StdLowerBound/1152",25008728,27.9401,27.9231,ns,,,,,,156.789,77.386,408.75
"BM_StdLowerBound/1280",24149904,29.0068,28.9891,ns,,,,,,162.791,78.4443,412.11
"BM_StdLowerBound/1408",23855394,29.4985,29.486,ns,,,,,,165.574,79.5232,425.825
"BM_StdLowerBound/1536",23633569,29.8161,29.7978,ns,,,,,,167.371,80.4991,437.324
"BM_StdLowerBound/1664",22606751,30.3754,30.3564,ns,,,,,,170.49,81.026,430.94
"BM_StdLowerBound/1792",21984595,30.9401,30.9218,ns,,,,,,173.669,81.4939,434.138
"BM_StdLowerBound/1920",21562505,32.1703,32.1495,ns,,,,,,180.512,82.0977,467.589
"BM_StdLowerBound/2048",21232651,32.9221,32.9194,ns,,,,,,184.818,82.4842,460.602
"BM_StdLowerBound/2048",21319283,33.3003,33.2969,ns,,,,,,186.965,82.4672,468.421
"BM_StdLowerBound/4096",18980843,36.7368,36.7354,ns,,,,,,206.284,89.0832,508.581
"BM_StdLowerBound/8192",16672839,42.1782,42.1762,ns,,,,,,236.726,95.498,576.184
"BM_StdLowerBound/16384",14076299,49.5899,49.5832,ns,,,,,,278.327,102.048,706.829
"BM_StdLowerBound/32768",12506361,55.912,55.9086,ns,,,,,,313.784,108.529,803.835
"BM_StdLowerBound/65536",11078676,63.17,63.1666,ns,,,,,,354.43,115.042,921.092
"BM_StdLowerBound/131072",9779598,71.5638,71.56,ns,,,,,,401.493,121.562,1081.08
"BM_StdLowerBound/262144",8157343,85.895,85.8899,ns,,,,,,481.762,128.071,1292.93
"BM_StdLowerBound_BigO",,3.27617,3.27535,lgN,,,,,,,,
"BM_StdLowerBound_RMS",,2.39739e-10,2.39952e-10,,,,,,,,,
"BM_LinearSearch/8",106795604,6.36382,6.36331,ns,,,,,,35.7147,28.8922,80.0919
"BM_LinearSearch/40",71764125,9.99773,9.99705,ns,,,,,,56.1113,81.2979,131.048
"BM_LinearSearch/72",53851315,13.0385,13.0373,ns,,,,,,73.185,129.098,179.608
"BM_LinearSearch/104",42200793,15.7968,15.7956,ns,,,,,,88.7051,170.587,220.666
"BM_LinearSearch/136",35939309,19.3101,19.3076,ns,,,,,,108.388,221.383,274.384
"BM_LinearSearch/168",28785663,22.3764,22.3748,ns,,,,,,125.593,257.518,308.124
"BM_LinearSearch/200",26207086,26.7872,26.7842,ns,,,,,,150.375,317.944,369.203
"BM_LinearSearch/232",22797784,31.1598,31.1574,ns,,,,,,174.911,372.768,419.845
"BM_LinearSearch/256",20569725,33.4566,33.454,ns,,,,,,187.793,396.328,444.525
"BM_LinearSearch/384",14800271,41.4938,41.491,ns,,,,,,232.928,603.284,696.834
"BM_LinearSearch/512",11551603,58.23,58.2241,ns,,,,,,327.006,752.363,806.226
"BM_LinearSearch/640",9829793,73.383,73.3788,ns,,,,,,411.933,985.932,1036.07
"BM_LinearSearch/768",8924205,76.1081,76.1033,ns,,,,,,427.314,1186.12,1279.46
"BM_LinearSearch/896",7272666,92.6807,92.6761,ns,,,,,,520.324,1316.46,1372.14
"BM_LinearSearch/1024",6411197,107.652,107.642,ns,,,,,,603.533,1537.52,1592.27
"BM_LinearSearch/1152",5946728,119.932,119.923,ns,,,,,,673.443,1739.11,1794.25
"BM_LinearSearch/1280",5318473,137.99,137.981,ns,,,,,,774.903,2031.66,2086.73
"BM_LinearSearch/1408",4834267,140.572,140.562,ns,,,,,,789.289,2079.85,2135.15
"BM_LinearSearch/1536",4407248,148.446,148.436,ns,,,,,,833.273,2328.5,2406.38
"BM_LinearSearch/1664",4279359,165.214,165.2,ns,,,,,,927.567,2501.31,2555.38
"BM_LinearSearch/1792",3941916,174.862,174.851,ns,,,,,,981.735,2656.78,2709.19
"BM_LinearSearch/1920",3661700,180.915,180.898,ns,,,,,,1015.69,2842.62,2912.43
