name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"perf_raw::r1084301A0","perf_raw::r4302D6","perf_raw::r43A2D6"
"BM_LinearSearch/8",114042256,5.99389,5.99324,ns,,,,,,14.8594,12.4783,12.1759
"BM_LinearSearch/40",71711689,9.69654,9.69513,ns,,,,,,17.8673,15.2328,13.7106
"BM_LinearSearch/72",51065036,12.4952,12.4926,ns,,,,,,16.9746,14.5898,14.243
"BM_LinearSearch/104",45513213,16.0227,16.0197,ns,,,,,,18.6201,15.3196,14.7491
"BM_LinearSearch/136",36702414,18.82,18.8172,ns,,,,,,20.9934,16.3654,15.5762
"BM_LinearSearch/168",33572390,21.7269,21.7218,ns,,,,,,17.6566,15.5417,14.636
"BM_LinearSearch/200",25517707,29.0991,29.0916,ns,,,,,,34.9027,22.4755,19.2636
"BM_LinearSearch/232",24320268,30.5779,30.5729,ns,,,,,,37.4196,24.1541,20.1924
"BM_LinearSearch/256",19729547,33.0266,33.0242,ns,,,,,,37.2437,24.7584,21.2638
"BM_LinearSearch/384",15891538,46.1488,46.1269,ns,,,,,,48.0811,29.7941,24.8248
"BM_LinearSearch/512",11778894,62.7327,62.729,ns,,,,,,59.4757,35.5476,28.9007
"BM_LinearSearch/640",10020326,72.3451,72.2414,ns,,,,,,58.8504,32.7912,26.8108
"BM_LinearSearch/768",9189230,72.8876,72.8809,ns,,,,,,14.7504,14.423,14.1243
"BM_LinearSearch/896",7321045,96.072,95.9751,ns,,,,,,76.0975,41.7268,32.1967
"BM_LinearSearch/1024",6476934,108.524,108.465,ns,,,,,,72.4657,42.6978,33.1376
"BM_LinearSearch/1152",6282692,111.852,111.846,ns,,,,,,21.6889,17.8838,14.8553
"BM_LinearSearch/1280",5421325,129.707,129.698,ns,,,,,,77.3886,41.3041,30.7255
"BM_LinearSearch/1408",4952509,140.557,140.508,ns,,,,,,81.9995,41.7276,30.7807
"BM_LinearSearch/1536",4716480,148.72,148.709,ns,,,,,,55.9103,32.9222,25.5044
"BM_LinearSearch/1664",4152714,165.346,165.326,ns,,,,,,77.9375,41.786,30.9558
"BM_LinearSearch/1792",3944257,175.689,175.668,ns,,,,,,83.492,46.8637,34.4641
"BM_LinearSearch/1920",3784048,177.326,177.311,ns,,,,,,21.1722,17.5048,14.2125
