name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"branch-misses"
"BM_LinearSearch/8",24705511,26.0567,25.9941,ns,,,,,,0.945276
"BM_LinearSearch/40",11749537,62.3164,62.1619,ns,,,,,,1.10551
"BM_LinearSearch/72",7425258,92.3795,92.1836,ns,,,,,,1.09781
"BM_LinearSearch/104",4990849,116.761,116.565,ns,,,,,,1.02282
"BM_LinearSearch/136",4445889,159.24,159.028,ns,,,,,,1.00933
"BM_LinearSearch/168",3623320,179.458,179.237,ns,,,,,,1.00399
"BM_LinearSearch/200",3126413,223.143,222.91,ns,,,,,,1.01172
"BM_LinearSearch/232",2586153,277.453,277.155,ns,,,,,,1.02435
"BM_LinearSearch/256",2629361,260.229,259.95,ns,,,,,,1.01995
"BM_LinearSearch/384",1761654,408.733,408.318,ns,,,,,,1.00305
"BM_LinearSearch/512",1331892,518.357,517.84,ns,,,,,,1.00164
"BM_LinearSearch/640",1077980,658.252,657.669,ns,,,,,,1.00551
"BM_LinearSearch/768",889633,797.415,796.636,ns,,,,,,1.00161
"BM_LinearSearch/896",768075,931.961,931.087,ns,,,,,,1.00191
"BM_LinearSearch/1024",670767,1011.17,1010.19,ns,,,,,,1.00173
"BM_LinearSearch/1152",591530,1166.73,1165.6,ns,,,,,,1.00576
"BM_LinearSearch/1280",527806,1297.38,1296.19,ns,,,,,,1.00542
"BM_LinearSearch/1408",486422,1457.07,1455.65,ns,,,,,,1.00782
"BM_LinearSearch/1536",452019,1580.21,1578.69,ns,,,,,,1.00508
