name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cycles","instructions"
"BM_LinearSearch/8",26101771,29.4598,29.3783,ns,,,,,,43.771,44.142
"BM_LinearSearch/40",12066057,63.8954,63.7234,ns,,,,,,95.1188,146.535
"BM_LinearSearch/72",7632825,97.142,96.9349,ns,,,,,,144.841,250.983
"BM_LinearSearch/104",5610937,117.68,117.478,ns,,,,,,175.599,311.539
"BM_LinearSearch/136",4413902,153.827,153.619,ns,,,,,,229.711,420.757
"BM_LinearSearch/168",3841201,186.859,186.63,ns,,,,,,279.171,519.465
"BM_LinearSearch/200",3211144,223.978,223.721,ns,,,,,,334.707,630.318
"BM_LinearSearch/232",2803482,256.945,256.646,ns,,,,,,383.971,728.948
"BM_LinearSearch/256",2523315,275.666,275.321,ns,,,,,,411.854,784.542
"BM_LinearSearch/384",1781004,396.294,395.85,ns,,,,,,592.202,1145.81
"BM_LinearSearch/512",1292054,518.279,517.701,ns,,,,,,774.543,1510.05
"BM_LinearSearch/640",1036206,684.572,683.867,ns,,,,,,1023.27,2006.55
"BM_LinearSearch/768",884492,790.41,789.596,ns,,,,,,1181.53,2323.08
"BM_LinearSearch/896",757987,905.39,904.423,ns,,,,,,1353.35,2667.35
"BM_LinearSearch/1024",681985,1042.63,1041.7,ns,,,,,,1558.89,3078.16
"BM_LinearSearch/1152",589628,1157.58,1156.3,ns,,,,,,1730.12,3419.53
"BM_LinearSearch/1280",536667,1311.54,1310.26,ns,,,,,,1960.56,3879.71
"BM_LinearSearch/1408",484716,1409.58,1408.08,ns,,,,,,2106.93,4156.23
"BM_LinearSearch/1536",452156,1529.66,1528.31,ns,,,,,,2287.12,4515.04
"BM_LinearSearch/1664",418079,1702.83,1701.22,ns,,,,,,2545.84,5030.38
"BM_LinearSearch/1792",388119,1853.58,1851.79,ns,,,,,,2771.01,5480.48
"BM_LinearSearch/1920",356967,1931.14,1929.27,ns,,,,,,2887.04,5711.56
"BM_LinearSearch/2048",336216,2078.11,2076.19,ns,,,,,,3107,6152.79
"BM_LinearSearch/2048",335064,2080.53,2078.54,ns,,,,,,3110.51,6159.94
"BM_LinearSearch/4096",169544,4148.12,4144.08,ns,,,,,,6201.49,12263.1
"BM_LinearSearch/8192",85583,8310.31,8302.51,ns,,,,,,12424.2,24678.7
"BM_LinearSearch/16384",42357,16504.1,16488.1,ns,,,,,,24673.2,49177.3
"BM_LinearSearch/32768",21296,32811.7,32779.3,ns,,,,,,49052.7,97919.3
"BM_LinearSearch/65536",10444,66236.3,66166,ns,,,,,,98992.4,196704
"BM_LinearSearch/131072",4988,143043,142705,ns,,,,,,212889,393837
"BM_LinearSearch/262144",2435,286504,285747,ns,,,,,,425607,790267
"BM_LinearSearch_BigO",,1.08735,1.08464,N,,,,,,,
"BM_LinearSearch_RMS",,5.92808e-11,5.81438e-11,,,,,,,,
"BM_BinarySearchRandomTarget/8",20334515,39.7984,39.6909,ns,,,,,,59.1976,40.5516
"BM_BinarySearchRandomTarget/40",11192598,61.9921,61.8348,ns,,,,,,92.3197,57.9875
"BM_BinarySearchRandomTarget/72",9595587,70.7449,70.5764,ns,,,,,,105.402,62.9623
"BM_BinarySearchRandomTarget/104",9099098,75.7766,75.5869,ns,,,,,,112.877,68.1349
"BM_BinarySearchRandomTarget/136",8548930,82.6505,82.4524,ns,,,,,,123.152,70.2607
"BM_BinarySearchRandomTarget/168",8254045,84.6057,84.4131,ns,,,,,,126.091,72.9624
"BM_BinarySearchRandomTarget/200",7909406,88.636,88.4345,ns,,,,,,132.101,74.5464
"BM_BinarySearchRandomTarget/232",7721538,92.0783,91.871,ns,,,,,,137.246,76.214
"BM_BinarySearchRandomTarget/256",7481347,92.1995,91.9975,ns,,,,,,137.446,76.8979
"BM_BinarySearchRandomTarget/384",6928532,100.467,100.267,ns,,,,,,149.825,82.3189
"BM_BinarySearchRandomTarget/512",6378188,110.079,109.864,ns,,,,,,164.197,84.7143
"BM_BinarySearchRandomTarget/640",6107693,114.655,114.432,ns,,,,,,171.035,87.4451
"BM_BinarySearchRandomTarget/768",5883775,119.187,118.977,ns,,,,,,177.848,89.4972
"BM_BinarySearchRandomTarget/896",5705493,123.439,123.202,ns,,,,,,183.885,90.8043
"BM_BinarySearchRandomTarget/1024",5563795,126.113,125.902,ns,,,,,,188.217,91.9969
"BM_BinarySearchRandomTarget/1152",5464697,127.962,127.746,ns,,,,,,190.992,93.5132
"BM_BinarySearchRandomTarget/1280",5381288,130.27,130.058,ns,,,,,,194.454,94.8895
"BM_BinarySearchRandomTarget/1408",5306140,132.14,131.925,ns,,,,,,197.236,95.8649
"BM_BinarySearchRandomTarget/1536",5233509,134.377,134.11,ns,,,,,,200.156,96.8679
"BM_BinarySearchRandomTarget/1664",5151687,136.506,136.284,ns,,,,,,203.74,97.524
"BM_BinarySearchRandomTarget/1792",5134940,136.57,136.364,ns,,,,,,203.899,98.2223
"BM_BinarySearchRandomTarget/1920",5090375,137.654,137.435,ns,,,,,,205.495,98.8416
"BM_BinarySearchRandomTarget/2048",5043094,138.88,138.664,ns,,,,,,207.33,99.4776
"BM_BinarySearchRandomTarget/2048",5044645,138.937,138.717,ns,,,,,,207.417,99.4954
"BM_BinarySearchRandomTarget/4096",4180588,167.593,167.369,ns,,,,,,250.307,107.045
"BM_BinarySearchRandomTarget/8192",3399322,206.296,206.013,ns,,,,,,308.142,114.499
"BM_BinarySearchRandomTarget/16384",2904788,241.116,240.771,ns,,,,,,360.089,122.003
"BM_BinarySearchRandomTarget/32768",2584002,272.224,271.76,ns,,,,,,404.928,129.514
"BM_BinarySearchRandomTarget/65536",2330236,301.254,300.679,ns,,,,,,449.097,137.001
"BM_BinarySearchRandomTarget/131072",1634237,425.225,424.017,ns,,,,,,631.943,144.511
"BM_BinarySearchRandomTarget/262144",717235,974.632,972.122,ns,,,,,,1448.02,152.003
"BM_BinarySearchRandomTarget_BigO",,0.00380619,0.00379656,N,,,,,,,
"BM_BinarySearchRandomTarget_RMS",,6.75885e-10,6.76188e-10,,,,,,,,
"BM_BinarySearchPredictableTarget/8",43397003,16.1748,16.1295,ns,,,,,,24.0104,45
"BM_BinarySearchPredictableTarget/40",34495686,20.3368,20.2793,ns,,,,,,30.1945,59
"BM_BinarySearchPredictableTarget/72",30378582,23.1013,23.0372,ns,,,,,,34.3038,66
"BM_BinarySearchPredictableTarget/104",30374237,23.0994,23.0373,ns,,,,,,34.3051,66
"BM_BinarySearchPredictableTarget/136",27052172,25.9301,25.8652,ns,,,,,,38.5293,73
"BM_BinarySearchPredictableTarget/168",27056019,25.9408,25.869,ns,,,,,,38.528,73
"BM_BinarySearchPredictableTarget/200",27049392,25.9394,25.8682,ns,,,,,,38.5287,73
"BM_BinarySearchPredictableTarget/232",27052507,25.9407,25.8713,ns,,,,,,38.5348,73
"BM_BinarySearchPredictableTarget/256",24242319,28.9539,28.8756,ns,,,,,,43.019,80
"BM_BinarySearchPredictableTarget/384",24261778,29.0363,28.9452,ns,,,,,,42.9716,80
"BM_BinarySearchPredictableTarget/512",21964143,31.9491,31.8651,ns,,,,,,47.4917,87
"BM_BinarySearchPredictableTarget/640",21791758,31.9643,31.8784,ns,,,,,,47.5054,87
"BM_BinarySearchPredictableTarget/768",21956966,31.9661,31.8793,ns,,,,,,47.5066,87
"BM_BinarySearchPredictableTarget/896",21960715,31.9719,31.8842,ns,,,,,,47.5101,87
"BM_BinarySearchPredictableTarget/1024",19968076,35.1436,35.0515,ns,,,,,,52.2529,94
"BM_BinarySearchPredictableTarget/1152",19959621,35.1429,35.0492,ns,,,,,,52.2515,94
"BM_BinarySearchPredictableTarget/1280",20265283,34.6212,34.5312,ns,,,,,,51.48,94
"BM_BinarySearchPredictableTarget/1408",20302110,34.5811,34.4857,ns,,,,,,51.4089,94
"BM_BinarySearchPredictableTarget/1536",20177630,34.763,34.6706,ns,,,,,,51.6854,94
"BM_BinarySearchPredictableTarget/1664",20002245,35.0896,34.9945,ns,,,,,,52.1626,94
"BM_BinarySearchPredictableTarget/1792",19958729,35.1594,35.0637,ns,,,,,,52.2617,94
"BM_BinarySearchPredictableTarget/1920",19963100,35.1562,35.0588,ns,,,,,,52.2577,94
"BM_BinarySearchPredictableTarget/2048",18584407,37.768,37.6615,ns,,,,,,56.1535,101
